Reference,Value,Qty,LCSC,LCSC Part
C1,10uF,1,C13585 ,
C2,2.7nF,1,C2918070,
C3,100nF,1,C28233,
C4,39pF,1,C576897,
C5,47pF,1,C113821,
"C6,C7,C8",22 uF,3,C87996,
D1,SMF5V0A,1,C42387343,
D2,GREEN,1,C5875740,
"D3,D4,D5,D6",BLUE,4,C965817,
"J1,J2",Screw_Terminal_01x02,2,C3018698,
"J3,J5",Conn_01x04_Male,2,C131334,
J4,Conn_01x03_Male,1,C131339,
L1,3.3uH,1,C7587741,
"MK1,MK2,MK3,MK4",M2.5,4,,
P1,Conn_02x20_Odd_Even,1,C50982,
"Q1,Q2",HSBA100P04_C2987717,2,C2987717,
"R1,R7",47k,2,C2989281,
R2,200k,1,C728645,
R3,16k,1,C865809,
R4,120k,1,C103948,
R5,22.1k,1,C2692772,
R6,10k,1,C110775,
"R8,R11,R12,R13,R14",330,5,C2989109,
U1,AP64500,1,C2070920,
U2,DMMT5401,1,C154733,
USB1,JTJ-USB-AF-08,1,C2345,
